Certificate,Award,Organization_Position,CS_Score,IT_Score,Animation_Score,IS_Score,Major
Math Olympiad,Top Innovator,Secretary,89,58,80,55,Animation
Sports Meet,Outstanding Performance,Treasurer,56,99,54,64,Multimedia Arts
Science Fair,Top Innovator,President,99,84,81,54,IT
Science Fair,Gold Medalist,Treasurer,50,96,88,59,Computer Science
Math Olympiad,Gold Medalist,President,97,55,91,81,Information Systems
Music Competition,Programming Contest Winner,President,66,64,74,94,Animation
Research Symposium,Best in Arts,President,92,62,66,94,Information Systems
Hackathon,Best in Leadership,Vice President,100,78,66,60,Animation
Debate Award,Best in Math,Captain,73,63,81,80,Multimedia Arts
Art Award,Programming Contest Winner,Vice President,94,61,73,92,Computer Science
Debate Award,Best in Leadership,Leader,84,58,72,76,Information Systems
Research Symposium,Best in Leadership,Assistant,74,99,74,69,Computer Science
Math Olympiad,Best in Math,Captain,68,67,85,86,Animation
Music Competition,Top Innovator,Secretary,58,66,80,50,Multimedia Arts
ICT NCII,Outstanding Performance,Captain,58,63,60,92,Animation
Art Award,Best in Science,Member,82,56,73,74,Multimedia Arts
Debate Award,Outstanding Performance,President,59,84,89,63,Information Systems
Sports Meet,Top Innovator,President,73,78,100,91,Information Systems
Science Fair,Best in Arts,President,79,99,97,80,IT
Science Fair,Best in Arts,Member,85,59,85,87,Multimedia Arts
Art Award,Best in Math,Assistant,79,91,77,85,Information Systems
Art Award,Best Speaker,President,56,94,70,80,Multimedia Arts
Sports Meet,Best Speaker,Vice President,97,71,52,86,IT
Debate Award,Best in Math,Treasurer,51,61,97,78,IT
ICT NCII,Best in Science,Captain,77,58,54,84,Multimedia Arts
ICT NCII,Outstanding Performance,Assistant,81,87,61,92,Multimedia Arts
Art Award,Top Innovator,Secretary,50,85,72,72,Multimedia Arts
ICT NCII,Excellence in Research,Captain,62,72,61,71,Animation
Math Olympiad,Outstanding Performance,Vice President,75,52,91,51,IT
Hackathon,Outstanding Performance,Secretary,75,76,76,66,Multimedia Arts
Debate Award,Best in Arts,Captain,52,75,63,62,Multimedia Arts
Debate Award,Outstanding Performance,Secretary,78,61,81,70,Computer Science
Music Competition,Best Speaker,Leader,52,51,64,91,Multimedia Arts
Debate Award,Best in Math,Captain,62,86,69,98,Computer Science
Art Award,Best Speaker,Coordinator,76,51,86,92,Multimedia Arts
Math Olympiad,Best in Math,Volunteer,66,74,50,58,Computer Science
Debate Award,Best in Math,Captain,69,50,71,87,Information Systems
Hackathon,Best in Math,Treasurer,76,66,53,73,IT
Sports Meet,Programming Contest Winner,President,66,60,63,65,Information Systems
Science Fair,Best in Leadership,Member,98,70,51,97,Information Systems
Math Olympiad,Best in Math,Coordinator,89,67,94,99,Multimedia Arts
Hackathon,Best Speaker,Captain,50,96,57,53,Computer Science
Sports Meet,Best Speaker,Member,95,95,88,88,Multimedia Arts
